Verknüpfungen:;Unterart über die ID in weiterer Tabelle zu finden;;;;;;;;;
9;Ritteranolis;;;;;;;;;
10;Stachelleguan;;;;;;;;;
11;Sudan-Schildechse;;;;;;;;;
12;Wüsten-Halsbandleguan;;;;;;;;;
13;Zwergbartagame;;;;;;;;;
14;Moschusschildkröte;;;;;;;;;
15;Königspython;;;;;;;;;
16;Sandfische;;;;;;;;;
17;Fächerfingergecko;;;;;;;;;
18;Grüner Leguan;;;;;;;;;
